127.0.0.1, 2018-04-10 15:49:38, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.588688
127.0.0.1, 2018-04-10 15:49:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.695222
127.0.0.1, 2018-04-10 15:49:38, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.680585
127.0.0.1, 2018-04-10 15:49:40, GET, /start/appadmin/hooks, HTTP/1.1, 200, 2.946256
127.0.0.1, 2018-04-10 15:49:42, POST, /admin/default/edit/start/controllers/default.py, HTTP/1.1, 200, 0.015176
127.0.0.1, 2018-04-10 15:49:44, GET, /admin/default/site, HTTP/1.1, 200, 0.028164
127.0.0.1, 2018-04-10 15:49:46, GET, /start/default/index, HTTP/1.1, 200, 0.170924
127.0.0.1, 2018-04-10 15:58:22, GET, /admin/default/design/start, HTTP/1.1, 200, 0.719452
127.0.0.1, 2018-04-10 15:58:41, GET, /admin/default/search/start, HTTP/1.1, 200, 0.035417
127.0.0.1, 2018-04-10 15:58:54, GET, /admin/default/peek/start/views/appadmin.html, HTTP/1.1, 200, 0.062833
127.0.0.1, 2018-04-10 15:59:17, GET, /admin/default/site, HTTP/1.1, 200, 0.027377
127.0.0.1, 2018-04-10 15:59:19, GET, /examples/default/index, HTTP/1.1, 200, 0.041182
127.0.0.1, 2018-04-10 15:59:22, GET, /welcome/default/index, HTTP/1.1, 200, 0.129574
127.0.0.1, 2018-04-10 15:59:24, GET, /test/default/index, HTTP/1.1, 200, 0.134453
127.0.0.1, 2018-04-10 15:59:30, GET, /start/default/index, HTTP/1.1, 200, 0.799211
127.0.0.1, 2018-04-10 15:59:35, GET, /admin/default/design/start, HTTP/1.1, 200, 0.098157
127.0.0.1, 2018-04-10 15:59:38, GET, /admin/default/peek/start/controllers/default.py, HTTP/1.1, 200, 0.053047
127.0.0.1, 2018-04-10 15:59:41, GET, /admin/default/edit/start/controllers/default.py, HTTP/1.1, 200, 0.080306
127.0.0.1, 2018-04-10 15:59:41, GET, /admin/default/edit/start/controllers/default.py, HTTP/1.1, 200, 0.069756
127.0.0.1, 2018-04-10 15:59:41, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.096845
127.0.0.1, 2018-04-10 15:59:41, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.255744
127.0.0.1, 2018-04-10 15:59:41, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.260382
127.0.0.1, 2018-04-10 15:59:41, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.215732
127.0.0.1, 2018-04-10 15:59:42, GET, /start/appadmin/hooks, HTTP/1.1, 200, 0.445705
127.0.0.1, 2018-04-10 15:59:47, GET, /admin/default/edit/start/controllers/default.py, HTTP/1.1, 200, 0.045601
127.0.0.1, 2018-04-10 15:59:47, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.010031
127.0.0.1, 2018-04-10 15:59:51, GET, /admin/default/edit/start/controllers/default.py, HTTP/1.1, 200, 0.044627
127.0.0.1, 2018-04-10 15:59:51, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.009751
127.0.0.1, 2018-04-10 15:59:53, GET, /admin/default/edit/start/controllers/default.py, HTTP/1.1, 200, 0.041510
127.0.0.1, 2018-04-10 15:59:53, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.009677
127.0.0.1, 2018-04-10 15:59:54, GET, /admin/default/edit/start/controllers/default.py, HTTP/1.1, 200, 0.040049
